ds,yhat,yhat_lower,yhat_upper,Store
2013-01-01,6902757.526908861,4651660.238205632,9187627.874249283,Store A
2013-01-02,6385880.945664729,4170836.6781874727,8703660.420367364,Store A
2013-01-03,6042832.483558148,3776301.1030785833,8235980.234829409,Store A
2013-01-04,6551060.857785093,4212003.5351841925,8852773.194640955,Store A
2013-01-05,5612161.132352389,3399600.495457769,7886846.4517220035,Store A
2013-01-06,-464979.77290836256,-2678792.264170847,1671135.2381956046,Store A
2013-01-07,7777951.083263396,5530208.055782671,9927465.069052096,Store A
2013-01-08,6945403.030390178,4698403.647654637,9332409.49376978,Store A
2013-01-09,6507328.272141285,4290381.79650747,8743804.479694169,Store A
2013-01-10,6236349.646205733,4115975.976800706,8591339.531243214,Store A
2013-01-11,6808791.5802975455,4526838.614513499,9290513.893084222,Store A
2013-01-12,5925332.571658742,3640137.7929380825,8490859.660569292,Store A
2013-01-13,-105834.47470262648,-2451020.6516557857,2134384.296049622,Store A
2013-01-14,8173141.056839678,5827497.236150411,10493415.08768324,Store A
2013-01-15,7366481.192904765,5023250.69549118,9719880.964601727,Store A
2013-01-16,6944143.426563871,4712903.5260633165,9193844.087447053,Store A
2013-01-17,6678980.470738335,4488360.678691442,9215283.5505743,Store A
2013-01-18,7247757.960401058,4912610.281276555,9541056.194955496,Store A
2013-01-19,6351788.889898408,4105751.647375468,8588221.071175221,Store A
2013-01-20,300071.69499635044,-1888736.7088004432,2753046.3020918905,Store A
2013-01-21,8551407.759113131,6099738.154230666,10737311.685726808,Store A
2013-01-22,7711086.528143697,5447485.971942624,9935363.361847809,Store A
2013-01-23,7250219.000986093,4848459.44461137,9599013.688808192,Store A
2013-01-24,6942865.782118359,4535888.002296383,9303657.501381405,Store A
2013-01-25,7467022.80233876,5112458.386111639,9661835.882731384,Store A
2013-01-26,6525224.336097261,4269670.88853826,8842345.87662432,Store A
2013-01-27,427651.0333215548,-2014518.896701061,2698977.314401951,Store A
