ds,yhat,yhat_lower,yhat_upper
2013-01-01,6902757.526908861,4651660.238205632,9187627.874249283
2013-01-02,6385880.945664729,4170836.6781874727,8703660.420367364
2013-01-03,6042832.483558148,3776301.1030785833,8235980.234829409
2013-01-04,6551060.857785093,4212003.5351841925,8852773.194640955
2013-01-05,5612161.132352389,3399600.495457769,7886846.4517220035
2013-01-06,-464979.77290836256,-2678792.264170847,1671135.2381956046
2013-01-07,7777951.083263396,5530208.055782671,9927465.069052095
2013-01-08,6945403.030390178,4698403.647654637,9332409.49376978
2013-01-09,6507328.272141285,4290381.79650747,8743804.479694169
2013-01-10,6236349.646205733,4115975.9768007067,8591339.531243214
2013-01-11,6808791.5802975455,4526838.614513499,9290513.893084222
2013-01-12,5925332.571658742,3640137.7929380825,8490859.660569292
2013-01-13,-105834.47470262647,-2451020.6516557857,2134384.296049622
2013-01-14,8173141.056839678,5827497.236150411,10493415.08768324
2013-01-15,7366481.192904765,5023250.69549118,9719880.964601729
2013-01-16,6944143.426563871,4712903.5260633165,9193844.087447051
2013-01-17,6678980.470738335,4488360.678691442,9215283.5505743
2013-01-18,7247757.960401058,4912610.281276555,9541056.194955496
2013-01-19,6351788.889898408,4105751.647375468,8588221.071175221
2013-01-20,300071.69499635044,-1888736.7088004432,2753046.3020918905
2013-01-21,8551407.759113131,6099738.154230666,10737311.685726807
2013-01-22,7711086.528143697,5447485.971942624,9935363.361847809
2013-01-23,7250219.000986093,4848459.44461137,9599013.688808193
2013-01-24,6942865.782118359,4535888.002296383,9303657.501381403
2013-01-25,7467022.80233876,5112458.386111639,9661835.882731384
2013-01-26,6525224.336097261,4269670.88853826,8842345.87662432
2013-01-27,427651.0333215548,-2014518.896701061,2698977.314401951
2013-01-28,8634219.496086963,6442493.596943248,10925418.407465376
2013-01-29,7751242.260977423,5483654.878761696,10093377.33508032
2013-01-30,7250739.536874214,4937075.874873013,9616091.340623563
2013-01-31,6907549.361521167,4741063.71391753,9055928.110908719
2013-02-01,7400299.640621561,5046270.036156084,9611592.687359367
2013-02-02,6432001.932812199,3985751.107046888,8889666.556564372
2013-02-03,313154.800707113,-1979046.7459454685,2603952.8249970214
2013-02-04,8503833.235223215,6174871.231248487,10670327.267859802
2013-02-05,7610352.862892357,5426439.918677778,9884929.125634123
2013-02-06,7104590.016945244,4809704.612971159,9364606.0964343
2013-02-07,6761103.957993694,4319555.855013596,8921559.013189102
2013-02-08,7258124.23591448,5049336.351941663,9769294.701597309
2013-02-09,6298162.503397468,4004941.771925537,8583552.891256735
2013-02-10,191135.98877002858,-2128288.9485202874,2468779.2125050626
2013-02-11,8396478.477501439,6018208.441140897,10723913.01661884
2013-02-12,7519826.832852104,5216424.009790154,9885999.45249049
2013-02-13,7032363.455053964,4940083.1676592855,9313596.64388288
2013-02-14,6707960.299748271,4558640.43860788,9041307.637737496
2013-02-15,7224186.819969725,4909878.069836973,9568748.393565316
2013-02-16,6282940.567838489,3874509.1750366352,8550771.596639667
2013-02-17,193587.16072835494,-2036605.1807607082,2639576.3107298193
2013-02-18,8415085.040274696,6089956.841658015,10755664.227120196
2013-02-19,7552682.7291113585,5303550.777080496,9889468.796535296
2013-02-20,7077268.759908831,5021610.723413204,9318181.256161207
2013-02-21,6762519.779454778,4414523.136011657,9146251.220001737
2013-02-22,7285909.1812249115,5103125.016891894,9480456.640024075
2013-02-23,6349335.098176071,4008760.418063801,8666775.702831114
2013-02-24,262254.6547812782,-1986887.3858165334,2552343.535843875
2013-02-25,8483800.195288368,5992302.427623539,10890244.795325065
2013-02-26,7619465.561733033,5249437.924266441,10050789.81792187
2013-02-27,7140443.034026826,4686898.977193444,9423161.817706386
2013-02-28,6820756.926100691,4420779.5590633545,9287465.645866642
2013-03-01,7338256.7201078795,5045991.821183811,9559284.0082822
2013-03-02,6395229.118243798,4059624.1583815836,8650306.43142692
2013-03-03,301516.46275298763,-2109056.6150923343,2648763.363404921
2013-03-04,8516617.77532094,6107603.0177012775,10775658.566640193
2013-03-05,7646360.995277152,5397421.187113203,9908530.329421377
2013-03-06,7162227.4835651405,4826899.498969795,9644444.389704406
2013-03-07,6838475.183070716,4516871.3087730445,9018975.068263775
2013-03-08,7353123.639379842,4984574.125670792,9658986.32236056
2013-03-09,6408560.502367739,4283896.344533123,8638312.499015024
2013-03-10,314657.1105905948,-2097644.778736336,2646024.6403866345
2013-03-11,8530869.469518822,6349195.944741687,10791875.875362048
2013-03-12,7662913.166765375,5279183.255631545,10123826.887143128
2013-03-13,7182093.167735681,4910492.102016211,9600012.770194419
2013-03-14,6862434.668789515,4384633.183172087,9004161.830538178
2013-03-15,7381677.921848388,5080194.595828418,9751250.745482838
2013-03-16,6441896.291034073,4228025.2978571765,8781503.2925176
2013-03-17,352624.7273575468,-2141838.3523379425,2695087.8623042577
2013-03-18,8572974.514368821,6205424.337292502,10922111.236868776
2013-03-19,7708322.341360749,5498181.988614008,9833551.722876754
2013-03-20,7229654.150254276,4887668.564167326,9507393.447192235
2013-03-21,6910709.440149277,4655497.63175602,9153953.498084655
2013-03-22,7428988.471191755,5067107.268093901,9661290.589284683
2013-03-23,6486381.191568026,4208394.2938435925,8682718.29828668
2013-03-24,392304.68743520975,-1761325.3870673792,2759950.5750237852
2013-03-25,8605824.684054734,6167329.424039387,10725581.78771145
2013-03-26,7732348.903487407,5544188.805097771,9915968.551568901
2013-03-27,7242972.554509209,5020334.834653186,9313414.78930486
2013-03-28,6911621.554879814,4549460.3585296795,9172538.84067409
2013-03-29,7416055.932410211,5193489.069163256,9751284.217502942
2013-03-30,6458492.324208714,4261432.93459513,8875754.22208218
2013-03-31,348732.5542818792,-1945169.2289270298,2621893.265443442
