ds,yhat,yhat_lower,yhat_upper
2013-01-01,6880413.629368895,4622733.554987778,9256135.595105745
2013-01-02,6364047.165260167,3914774.439400184,8655127.674308471
2013-01-03,6021513.039177551,3725845.65671592,8386076.907382567
2013-01-04,6530228.355542465,4240914.950579573,8606548.060182853
2013-01-05,5591752.330481033,3368863.339710341,8025931.105960613
2013-01-06,-484855.33208185947,-2846235.4436911503,1923734.9947606674
2013-01-07,7758406.5389308855,5359737.346837526,9996784.780984383
2013-01-08,6926380.903215347,4646585.686692151,9221864.593145663
2013-01-09,6488660.427016685,4334436.433466852,8801905.428142196
2013-01-10,6218021.358754158,3819010.62569723,8418499.749415917
2013-01-11,6790759.882381674,4521509.286278183,9167112.398402391
2013-01-12,5907522.385957219,3666987.037131004,8402424.321031915
2013-01-13,-123321.42719843937,-2366485.017164126,2158745.623762667
2013-01-14,8155771.476598037,5894759.703227828,10598481.022732383
2013-01-15,7349421.010307262,5141406.690943493,9599670.633671198
2013-01-16,6927229.345866574,4604994.049652023,9124745.33578649
2013-01-17,6662206.676754504,4333981.026768273,8816729.01050412
2013-01-18,7231094.215079285,4763586.161337258,9588919.867375333
2013-01-19,6335176.322399735,3901924.6437619836,8561047.805571327
2013-01-20,283631.27861548075,-1859432.961158744,2410339.44711942
2013-01-21,8534955.426185539,6205363.392583902,10780355.816340437
2013-01-22,7694838.073037994,5399124.011048056,10055825.398342688
2013-01-23,7234036.262293334,5046786.075537478,9429862.200747712
2013-01-24,6926768.805547793,4691324.137400102,9247450.378162151
2013-01-25,7451007.287330467,5096951.282301305,9657452.038918015
2013-01-26,6509256.78227567,4308188.074912696,8716158.234826112
2013-01-27,411876.5973794926,-1809482.19443111,2803047.834003414
2013-01-28,8618476.52673797,6312969.049449458,10921954.445424821
2013-01-29,7735766.677364341,5561556.353929072,10033565.3959514
2013-01-30,7235410.555203872,4919437.108230609,9348879.05112623
2013-01-31,6892401.283086758,4682999.073778495,9235573.77162125
2013-02-01,7385339.01367499,4990151.286341967,9574219.32432476
2013-02-02,6417202.510671778,4189584.4807708515,8624915.107445497
2013-02-03,298665.3114350465,-2152652.285943476,2399014.953148658
2013-02-04,8489491.931175157,6332687.810355848,10838294.367475107
2013-02-05,7596392.013945767,5297920.91326203,9932520.557211494
2013-02-06,7090881.847675676,4718803.695400282,9369472.755476011
2013-02-07,6747672.734809756,4676555.368933116,8919681.11213785
2013-02-08,7244963.806910425,4825413.751701914,9418592.549870132
2013-02-09,6285231.702082697,3994483.377936129,8549070.467592038
2013-02-10,178566.90276045073,-1904124.4308113945,2457270.5345030623
2013-02-11,8384091.53606793,6178947.669777932,10690107.477656946
2013-02-12,7507835.861155076,5322211.130013999,9783090.969743988
2013-02-13,7020622.1789868325,4750523.001883692,9348091.837967014
2013-02-14,6696474.99103574,4558033.606754062,9042725.5997944
2013-02-15,7212934.368368026,4977529.883574524,9366460.467726996
2013-02-16,6271864.37659339,3833099.7088202434,8602573.03162153
2013-02-17,182805.8527073476,-2165425.619229963,2482006.5247459114
2013-02-18,8404407.916719994,6024682.376894267,10760434.268383197
2013-02-19,7542315.11894688,5357758.953149273,10026831.708115403
2013-02-20,7067058.735951895,4757630.92033935,9489197.01902639
2013-02-21,6752470.926131604,4379196.369892521,9000219.902155919
2013-02-22,7275998.698242174,4946734.562712783,9468923.563158957
2013-02-23,6339509.636609518,4098080.294802245,8558454.33837484
2013-02-24,252638.87597203953,-2099681.3361203405,2541392.079288303
2013-02-25,8474212.000027698,6124337.147557933,10841456.515000094
2013-02-26,7610121.135578956,5258973.3508525025,9943162.181946652
2013-02-27,7131203.195137498,4870318.190912659,9363351.079702163
2013-02-28,6811639.472028252,4517184.491710088,8885649.68793664
2013-03-01,7329254.071295412,5035246.781065389,9591834.687627392
2013-03-02,6386303.669017323,4117980.363091468,8684190.399452148
2013-03-03,292808.6446603222,-1870924.6390348969,2604684.597998843
2013-03-04,8507960.797301855,6160015.6367783,10820379.574586608
2013-03-05,7637985.418451007,5292427.267322449,9873640.114895191
2013-03-06,7154007.133000197,4833548.446954164,9436733.157921162
2013-03-07,6830439.10542706,4588329.416883826,8953657.866639566
2013-03-08,7345273.415568195,5041983.479983987,9746646.909335291
2013-03-09,6400865.335559542,4068829.4020149414,8812715.519014275
2013-03-10,307261.7023216225,-2190486.8353836327,2540801.740419133
2013-03-11,8523608.651538767,6359570.313553051,10930998.542156084
2013-03-12,7656016.451880498,5360059.739669215,10228027.944252554
2013-03-13,7175430.720163023,4898796.887108576,9576762.4690703
2013-03-14,6856029.400929057,4679015.530355229,9086120.70191541
2013-03-15,7375523.021718463,5292787.1206004815,9606387.841282247
2013-03-16,6435950.593536239,4040756.4385940516,8855879.06292152
2013-03-17,347020.9329017011,-1840245.0740614422,2692752.9687891603
2013-03-18,8567534.211547352,6299534.923866282,10938832.029463824
2013-03-19,7703260.984544986,5455656.39787354,10084335.47551235
2013-03-20,7224827.479230269,5064250.134664671,9637760.898974482
2013-03-21,6906126.034682619,4751836.546789671,9289706.53485454
2013-03-22,7424627.730563756,5042196.293841306,9942526.149471337
2013-03-23,6482189.138293384,4027211.8739244216,8746766.208275646
2013-03-24,388402.5854065794,-2012240.0692426846,2727039.2447126866
2013-03-25,8602024.415590612,6500649.538303887,11026153.03687564
2013-03-26,7728858.245385233,5521547.979152471,9998569.248180147
2013-03-27,7239641.831213888,4949275.028138085,9639256.788618539
2013-03-28,6908456.354683606,4587133.733569009,9326034.092190241
2013-03-29,7413035.171992153,5032661.327065423,9767198.117325302
2013-03-30,6455564.058366512,4128049.8095375854,8722791.91191647
2013-03-31,346022.5211867051,-1948735.9706188834,2613432.462107231
2013-04-01,8543600.92920788,6081232.861576319,10681493.320536489
2013-04-02,7654570.796637187,5380073.241825988,10063357.585661039
2013-04-03,7150157.234828232,4870254.945439676,9454457.290525625
2013-04-04,6804932.830224209,4641394.482624402,9162023.791477945
2013-04-05,7297110.479734689,4921070.412764552,9512952.700018791
